Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,region,Population
Poland,46,5.97300005,6.053908341,5.892091758,1.291787863,1.44571197,0.699475348,0.5203421116,0.1584659666,0.05930780619,1.797722816,Central and Eastern Europe,37974826
Uzbekistan,47,5.971000195,6.065537573,5.876462816,0.7864410877,1.54896915,0.4982726276,0.6582486629,0.4159836471,0.2465282232,1.816913605,Central and Eastern Europe,32388600
Italy,48,5.964000225,6.042736906,5.885263544,1.395066619,1.444923282,0.8531443477,0.2564507127,0.1727896482,0.02802809142,1.813312054,Western Europe,60536709
Russia,49,5.962999821,6.030274907,5.895724734,1.281778097,1.469282389,0.5473493338,0.3737831116,0.05226382241,0.03296288103,2.205607414,Central and Eastern Europe,144496740
Belize,50,5.955999851,6.197242318,5.714757385,0.907975316,1.081417799,0.450191766,0.5475093722,0.2400156409,0.09658107162,2.631955624,Latin America and Caribbean,383071
Yemen,146,3.592999935,3.69275032,3.49324955,0.5916834474,0.935382247,0.3100809157,0.2494637221,0.1041252092,0.05676742271,1.345600605,Middle East and Northern Africa,27834821
South Sudan,147,3.59100008,3.725538586,3.456461574,0.3972486258,0.6013231277,0.1634860039,0.1470624357,0.2856708169,0.1167935133,1.879567385,Sub-Saharan Africa,10910759
Liberia,148,3.532999992,3.653756261,3.412243724,0.119041793,0.8721179366,0.2299181968,0.3328811824,0.2665498853,0.03894824907,1.673285961,Sub-Saharan Africa,4702228
Guinea,149,3.506999969,3.584428129,3.42957181,0.2445499301,0.7912446856,0.1941291392,0.348587513,0.2648150921,0.1109376177,1.552311897,Sub-Saharan Africa,12067539
Togo,150,3.494999886,3.594038112,3.395961659,0.3054447174,0.4318825305,0.2471055686,0.3804261386,0.1968961507,0.09566501528,1.837229252,Sub-Saharan Africa,7698475
Rwanda,151,3.470999956,3.543030234,3.398969679,0.3687458932,0.9457070231,0.3264248073,0.581843853,0.2527560294,0.4552200139,0.5400612354,Sub-Saharan Africa,11980937
Syria,152,3.461999893,3.663668557,3.26033123,0.7771531343,0.3961026073,0.5005333424,0.08153944463,0.4936637282,0.1513471305,1.061573505,Middle East and Northern Africa,17068002
Tanzania,153,3.348999977,3.461429755,3.236570199,0.5111358762,1.041989803,0.3645092845,0.3900177777,0.3542563617,0.06603510678,0.6211304665,Sub-Saharan Africa,54663906
Burundi,154,2.904999971,3.074690333,2.73530961,0.09162256867,0.6297935843,0.1516107917,0.0599007532,0.2044351846,0.08414794505,1.683024168,Sub-Saharan Africa,10827024
Central African Republic,155,2.693000078,2.864884269,2.521115887,0,0,0.0187726859,0.2708420455,0.2808764875,0.05656507611,2.066004753,Sub-Saharan Africa,4596028
